"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene9708",-0.550368550368498,5.71028037383178,-4.68156123841134,4.98703061301277e-06,0.000280462212278545,3.81863356481537
"gene6914",-0.803849303849214,7.00467289719626,-4.67718046841313,5.08481904665821e-06,0.000283313876048757,3.80054319314918
"gene9150",-0.588656838656809,7.35046728971963,-4.67015272560655,5.24556680549384e-06,0.000289588974789534,3.77155090510479
"gene7601",-0.557330057330006,6.64485981308411,-4.66352736366409,5.40158942759283e-06,0.000296106422118772,3.7442510596509
"gene8978",-0.715806715806611,7.12616822429907,-4.65823633761907,5.52939268079782e-06,0.000301114212277836,3.72247199626556
"gene8075",-1.02108927108923,7.05140186915888,-4.64810904139954,5.78218974326698e-06,0.000310965100813569,3.68084187675429
"gene4681",-0.625307125307089,7.97663551401869,-4.64788913207146,5.7878007961977e-06,0.000310965100813569,3.6799387173851
"gene5488",-0.661547911547816,7.22429906542056,-4.64082396904189,5.97088891043741e-06,0.00031796304441201,3.65094088572512
"gene5406",-0.598484848484856,7.43457943925234,-4.61456599650486,6.70150402939894e-06,0.000349145458847689,3.54348467188868
"gene9857",-0.541769041769048,6.26168224299065,-4.61279802270954,6.75367533345101e-06,0.000349183486833756,3.53626743401832
"gene152",-0.51556101556104,11.5373831775701,-4.60998375054555,6.83752978514221e-06,0.00035016881261356,3.52478364995877
"gene4069",0.92485667485667,7.39719626168224,4.6013620635781,7.10071041769902e-06,0.000357734364236643,3.48963807238363
"gene8094",-0.614455364455336,6.19626168224299,-4.57369809634739,8.01266410747659e-06,0.000396841203841485,3.37723195600104
"gene2140",0.64352989352984,8.42990654205608,4.55619840902282,8.64668107700208e-06,0.000417922918721767,3.30641305541852
"gene3655",0.586199836199839,6.92056074766355,4.55063480021046,8.85817328335304e-06,0.000424733527749617,3.28394457148817
"gene2652",0.5859950859952,7.85981308411215,4.54691264444853,9.002434637707e-06,0.000427532570247667,3.26892533906551
"gene9496",-0.597256347256349,5.29906542056075,-4.54681567116032,9.006223122668e-06,0.000427532570247667,3.26853417814014
"gene6869",0.736486486486535,7.50934579439252,4.54460166083068,9.09313696666428e-06,0.000427532570247667,3.25960539529393
"gene7559",-0.699426699426624,7.48598130841121,-4.54278087517385,9.16521837340242e-06,0.000427532570247667,3.25226510948943
"gene8622",-0.51719901719897,5.55140186915888,-4.52354536716362,9.96107275295324e-06,0.00045905685479023,3.1748672333562
"gene5158",-0.511466011465979,7.75233644859813,-4.52190957938139,1.00317368350503e-05,0.00045905685479023,3.1682977909374
"gene10782",-0.53685503685502,6.2196261682243,-4.51291623237352,1.042893143127e-05,0.000473630904812585,3.13221482578577
"gene2687",0.51658476658481,9.26635514018692,4.50250311870898,1.09077270111218e-05,0.000489830203652427,3.09050948524649
"gene530",-0.516175266175255,10.8551401869159,-4.48684365745904,1.16677401134197e-05,0.000516254603915465,3.02794181689058
"gene6078",-0.51515151515149,6.6588785046729,-4.45052534354787,1.36312504999585e-05,0.000588000357587816,2.88352531190673
"gene5428",0.61036036036031,8.58878504672897,4.442471095037,1.41078205507032e-05,0.00060638435831326,2.85163003218656
"gene7794",0.684889434889477,5.70093457943925,4.42676350717654,1.50836664854037e-05,0.00064162017825876,2.78956499445529
"gene7841",-0.51392301392307,7.02336448598131,-4.42602409361839,1.51311647035581e-05,0.00064162017825876,2.78664786395828
"gene1232",-0.591932841932849,9.3785046728972,-4.38396744974142,1.80822662417146e-05,0.000745274226777519,2.62139346450115
"gene11151",-0.713963963963961,6.67289719626168,-4.37976415083783,1.84058506681987e-05,0.00075444662196177,2.60494954322895
"gene7620",-0.602784602784516,7.1588785046729,-4.37341005868299,1.8905575838931e-05,0.000761891330566693,2.58011637403496
"gene7661",0.542997542997516,6.10280373831776,4.37187194185224,1.90284846446628e-05,0.000761891330566693,2.57410960094636
"gene9814",-0.586199836199857,8.07943925233645,-4.37014554562599,1.91673512826568e-05,0.000761891330566693,2.56736964427124
"gene8333",-0.64496314496312,6.64485981308411,-4.34877021597664,2.0969274150633e-05,0.000809337484093391,2.48410320515968
"gene5246",0.535831285831263,8.47663551401869,4.34242630744305,2.15345864649149e-05,0.000823942655768842,2.45945651115542
"gene1958",0.551597051597199,9.15420560747664,4.33375240218582,2.23312104166899e-05,0.000842495665720574,2.42580626513007
"gene713",1.38984438984447,9.35514018691589,4.3302183175563,2.26638172106356e-05,0.00085237200040625,2.41211199768272
"gene11704",-0.640049140049133,6.10280373831776,-4.32530352698486,2.31342675740309e-05,0.000859323797078586,2.39308316548952
"gene1819",-0.511466011466036,8.75233644859813,-4.32381439571578,2.32786464879979e-05,0.000862026186101705,2.38732119641765
"gene2425",1.15765765765769,8.46728971962617,4.29746854763342,2.59803279675367e-05,0.000933352976385984,2.28565498667972
"gene9141",0.785831285831306,7.14953271028037,4.28147993349165,2.77636644148243e-05,0.000991500597128813,2.22421073611731
"gene5328",0.565520065520065,6.78504672897196,4.26906262351032,2.92289059850059e-05,0.00103079086820409,2.1766238401998
"gene6212",-0.647829647829667,7.29439252336449,-4.26034973947639,3.03009013794418e-05,0.00106009112820227,2.14330286100772
"gene7074",-0.505118755118733,6.13551401869159,-4.24760544411568,3.1936898807039e-05,0.00110196684744512,2.09466768834855
"gene9934",-0.556101556101497,11.0093457943925,-4.24226519670929,3.26472618859388e-05,0.00111940113047656,2.07432458191739
"gene8089",0.84643734643738,7.13084112149533,4.22461399568475,3.51043372925744e-05,0.00119344830315292,2.00723784050502
"gene10741",-0.535421785421781,6.14485981308411,-4.21446460579346,3.65961990764041e-05,0.00123371220135721,1.96877011585226
"gene9774",-0.546683046683027,5.80373831775701,-4.19180176358211,4.01492177581896e-05,0.00132517001500149,1.88315695557621
"gene11412",-0.823095823095786,5.79439252336449,-4.17949320192026,4.22146723687637e-05,0.00137437184102761,1.83682282490474
"gene7874",-0.558763308763349,7.7196261682243,-4.17766497512472,4.25299867224016e-05,0.00137593653280673,1.82995052848149
"gene5385",-0.571867321867242,7.33177570093458,-4.16552223281005,4.46820474345359e-05,0.00143018202360276,1.78437072136836
"gene10446",0.557534807534796,5.41588785046729,4.15837620343418,4.59967370023308e-05,0.00146447283021971,1.75759952720877
"gene9947",-0.56592956592958,6.09345794392523,-4.15550395237003,4.65354964003395e-05,0.00147008725355252,1.7468501972274
"gene7757",0.516789516789494,6.32710280373832,4.15236690510175,4.71308067095828e-05,0.00148437646356471,1.73511708002628
"gene2790",0.611793611793656,9.01401869158878,4.14540116809949,4.84787803924139e-05,0.00150153792517985,1.70909089361697
"gene5299",-0.552416052416037,8.10280373831776,-4.1200642976633,5.36988874190511e-05,0.00161971456162476,1.61473781236249
"gene7913",0.636158886158903,6.24299065420561,4.11658311633666,5.44566953521905e-05,0.0016222433875337,1.60181256180658
"gene1421",0.555077805077918,8.68691588785047,4.11539275464111,5.47181541059638e-05,0.00162317330899912,1.59739501232891
"gene5783",-0.515765765765785,7.47663551401869,-4.11335962640852,5.51674949173357e-05,0.00162317330899912,1.5898523901405
"gene528",0.536240786240731,7.5981308411215,4.10933935597293,5.60663947703291e-05,0.00164174954029419,1.57494709619609
"gene6418",-0.663390663390555,7.67757009345794,-4.094007311659,5.96244139383386e-05,0.00170042611788603,1.51821707603376
"gene4845",0.612817362817496,7.81775700934579,4.08834119722153,6.09930004572508e-05,0.00173283030869432,1.49729770021788
"gene6314",-0.513104013103965,6.26635514018692,-4.08487382208314,6.18452210988442e-05,0.00174720008433002,1.48450829991855
"gene2876",-0.522932022931964,7.35046728971963,-4.08082238173939,6.2855374828013e-05,0.00176869859002785,1.46957631663219
"gene10791",0.643939393939382,6.55140186915888,4.05709242096695,6.90951763672463e-05,0.00189421514255082,1.38237156489179
"gene6613",0.570434070434136,8.74299065420561,4.05428315640815,6.98717822943521e-05,0.00190681836714859,1.37207665484569
"gene3199",0.721744471744477,6.13551401869159,4.05272261924953,7.03067691748674e-05,0.00191434834167314,1.36636050333365
"gene6313",-0.538902538902601,8.61214953271028,-4.04472588315741,7.2576568363722e-05,0.00195860915546119,1.337098518708
"gene9126",-0.560810810810778,6.11214953271028,-4.03777796627494,7.46051676937162e-05,0.00198206002912555,1.31171461150892
"gene9338",0.623054873054881,5.85514018691589,4.03264743764681,7.61376716352797e-05,0.00201388324863866,1.29299445873831
"gene11767",-0.62141687141685,4.63084112149533,-4.01014342146013,8.32208003401879e-05,0.00215389748837454,1.21112356359574
"gene1731",0.612817362817405,7.81775700934579,4.00035148671704,8.64947576207125e-05,0.00222220332111393,1.17562278820568
"gene4374",0.512489762489754,6.55140186915888,3.9906838528141,8.98471120389828e-05,0.0022764420913456,1.14064585876554
"gene9052",-0.586199836199837,7.07943925233645,-3.98949003716567,9.02695509116943e-05,0.00228234043113916,1.13633175269384
"gene8166",-0.725429975429936,8.77102803738318,-3.98364023646176,9.23669878861828e-05,0.00231355641462197,1.11520830971276
"gene11804",-0.546887796887763,5.24299065420561,-3.97099775960677,9.70593227150014e-05,0.00240776776244412,1.06964787934373
"gene11805",-0.546887796887763,5.24299065420561,-3.97099775960677,9.70593227150014e-05,0.00240776776244412,1.06964787934373
"gene3398",-0.540745290745255,9.06542056074766,-3.9681719754841,9.81386831545418e-05,0.00242525472641666,1.05948149141804
"gene4658",0.574733824733805,9.01869158878505,3.95861047578506,0.000101876116782318,0.00248969817294005,1.02512812259606
"gene1762",-0.644758394758449,9.70560747663551,-3.95788842644709,0.0001021637802346,0.00248969817294005,1.02253678364695
"gene9663",-0.636363636363609,5.69626168224299,-3.95662565082053,0.000102668724638135,0.00249619818387869,1.01800582977948
"gene9166",0.8398853398854,7.18691588785047,3.94139546380636,0.000108948620391205,0.002602373819438,0.96345678523324
"gene7924",0.810810810810798,7.5607476635514,3.93538501839628,0.000111525952512964,0.00263696431924072,0.941979511750674
"gene5363",0.638206388206426,6.85046728971963,3.92398740269418,0.000116573185022487,0.00272558420885729,0.90132989371446
"gene8318",0.52927927927933,6.03271028037383,3.92385557959475,0.000116632809934483,0.00272558420885729,0.900860342446965
"gene9123",-0.949221949221928,5.87383177570093,-3.87478787143582,0.000140956120602208,0.00315317269785795,0.727031014969974
"gene2228",0.678542178542155,8.31775700934579,3.87108667330502,0.000142973899556139,0.00317363822400788,0.713995908806524
"gene5199",-0.501023751023795,7.85046728971963,-3.86859591618297,0.000144347167980645,0.00318755626907717,0.705229893591366
"gene11421",-0.580057330057305,6.4018691588785,-3.85838773803492,0.000150107155759922,0.00327221141504917,0.669354231310786
"gene8936",0.506756756756777,6.35046728971963,3.85322220087304,0.000153104188982708,0.0033200160619944,0.651231821521435
"gene5523",-0.557330057329958,8.64485981308411,-3.82081729288578,0.000173238822933184,0.00355789971672504,0.538026526913116
"gene3440",0.59090909090909,8.31775700934579,3.81133323699805,0.000179590534916348,0.00364477231510592,0.505051833295133
"gene2229",0.66564291564289,8.49065420560748,3.81065475423172,0.000180053282329068,0.00364477231510592,0.502695584141392
"gene6662",0.577190827190817,7.24766355140187,3.80097930525631,0.000186776303279942,0.00372778243776801,0.469134283596997
"gene1356",0.627149877149831,7.57009345794393,3.78605591312179,0.000197613520804092,0.00386084208259294,0.41751538314439
"gene2449",0.540950040950019,9.99532710280374,3.75458905183799,0.000222444534116961,0.00417647420920066,0.309255485114222
"gene3806",0.789107289107257,8.1214953271028,3.75259398922777,0.00022411439845172,0.00420127225134961,0.302418233403618
"gene945",0.583742833742956,9.19158878504673,3.72554479772021,0.000247956226527484,0.00452144422160344,0.210032540695859
"gene11090",0.562039312039298,5.25233644859813,3.70692601331656,0.000265738034429145,0.00474504042189134,0.146781292717871
"gene7839",-0.636568386568287,7.13551401869159,-3.69715516641122,0.000275544628958209,0.00485531421597664,0.113699370124452
"gene1825",0.522932022931981,9.14953271028037,3.67315866613838,0.00030109781718173,0.00517209538130077,0.0327783739507881
"gene8668",-0.794635544635574,8.23831775700935,-3.66625868221803,0.000308849246618869,0.00526513516286764,0.00959609427232344
"gene2563",0.864864864864888,9.0981308411215,3.66624518067194,0.000308864597007441,0.00526513516286764,0.00955076996499837
"gene6027",0.529484029484129,7.59345794392523,3.66447510653526,0.000310883297219499,0.0052845769520292,0.00360995429480848
"gene6198",0.628378378378334,7.93457943925234,3.65893078816962,0.000317287163440942,0.00535561151754802,-0.0149818216274689
"gene7826",0.585585585585589,6.73831775700935,3.64852230332532,0.000329646457288993,0.0054948685782175,-0.0498176080284427
"gene1877",0.512489762489732,9.05140186915888,3.63846601798502,0.000342017254447437,0.00561413922644719,-0.083391502614881
"gene10362",-0.503890253890266,5.5,-3.63778868863661,0.000342866001781362,0.00561413922644719,-0.0856498943256065
"gene10059",-0.515765765765706,6.47663551401869,-3.61829354029539,0.000368162453955503,0.00588874602385906,-0.150492648083652
"gene1466",0.783579033579147,7.98130841121495,3.60043506195817,0.000392867682959924,0.00617201232280128,-0.209621412548117
"gene11065",-0.592956592956562,5.07476635514019,-3.56499679359666,0.000446580352734813,0.0067286419535611,-0.326189121522297
"gene9455",0.596232596232628,5.89719626168224,3.52931157449879,0.000507585957587704,0.00735999638502171,-0.44253526649777
"gene9038",-0.630016380016378,5.57943925233645,-3.51153376893916,0.000540818825053932,0.00771179450180577,-0.500108753996424
"gene1979",0.560810810810791,8.38785046728972,3.48902914641161,0.000585817573091436,0.00814324410196101,-0.572618770959656
"gene1682",-0.606674856674851,7.50467289719626,-3.48773508240507,0.000588508949051445,0.00815979861962458,-0.576775621879033
"gene10849",-0.558149058149072,5.9018691588785,-3.48416722254588,0.000595989480604777,0.0082350555672543,-0.588229342158791
"gene7979",-0.61773136773134,7.72429906542056,-3.47952488486128,0.00060585625518628,0.00831889667151317,-0.603116754168863
"gene6501",0.609336609336702,7.78504672897196,3.47746827651611,0.00061027609175343,0.00834274536026739,-0.609706387969055
"gene2921",-0.651515151515185,7.20093457943925,-3.46854044844475,0.000629815327503019,0.00851791993138799,-0.638271979626571
"gene7059",-0.54197379197376,7.70093457943925,-3.45994538483603,0.000649178586917493,0.00872290409428223,-0.665710920889075
"gene389",0.548935298935342,9.36448598130841,3.45984147970919,0.000649416042249845,0.00872290409428223,-0.666042256449812
"gene3942",0.552416052416087,7.39719626168224,3.4578874318214,0.000653896820330412,0.00875153852744423,-0.672271723609581
"gene9332",-0.990171990171917,7.72429906542056,-3.45052987560464,0.000671029252681614,0.00890206828907266,-0.695699264854751
"gene524",-0.517813267813327,11.3691588785047,-3.3885128454245,0.00083306792640461,0.0103681204697823,-0.891395201438647
"gene197",0.674037674037796,8.98130841121495,3.37444816299294,0.000874582430875305,0.0107954867236762,-0.93533383662824
"gene414",0.54729729729732,9.3785046728972,3.36474749222733,0.000904332522517987,0.0110402544394383,-0.965543478099763
"gene10324",0.561629811629822,5.13084112149533,3.33367890695663,0.00100609070273156,0.0118708839287984,-1.06177026341876
"gene6845",0.533579033579085,7.30841121495327,3.30559597892453,0.00110715690763235,0.012714344831446,-1.14805792269943
"gene8910",0.654995904995933,7.33177570093458,3.28457816304096,0.00118889660240723,0.0133225052234367,-1.21220643272234
"gene9875",0.554873054873084,5.62616822429907,3.27004815022916,0.00124864952620381,0.0137866945393237,-1.25633743540339
"gene2729",0.555487305487275,7.80841121495327,3.26788755262027,0.00125776953611829,0.0138199164147464,-1.26288456586977
"gene2572",0.562039312039325,7.25233644859813,3.2677037410728,0.00125854826676876,0.0138199164147464,-1.26344137850023
"gene8447",0.601760851760941,7.53738317757009,3.23268680042212,0.00141535217950209,0.0150607988331632,-1.36899963895736
"gene738",0.640458640458686,9.51869158878505,3.21636621876805,0.00149446745047767,0.0157082233768548,-1.41784585433004
"gene937",0.514332514332614,8.0981308411215,3.14905253085984,0.0018660986756129,0.0183185135081576,-1.61693660153327
"gene2908",0.511261261261292,7.18691588785047,3.12016719246638,0.00205039412084674,0.0196156544073056,-1.70119391141829
"gene3899",-0.537059787059704,7.1588785046729,-3.08377127150901,0.00230653445930156,0.0213696244939909,-1.80635016997551
"gene8315",-0.745495495495415,7.81775700934579,-3.06866798713914,0.00242124200454315,0.0221045351475929,-1.8496559487588
"gene4255",0.567158067158188,7.77102803738318,3.05373892547488,0.00253977186948188,0.0227935529076916,-1.89227094761115
"gene7870",0.543611793611783,6.28504672897196,3.03895558454753,0.00266238927683757,0.0235255910034803,-1.93428240115173
"gene40",0.730343980343982,9.18691588785047,3.03298860672258,0.00271340648830261,0.0238886957474191,-1.95118649059232
"gene2843",0.5835380835381,8.13084112149533,3.02300158747226,0.002800811068976,0.0244572776104593,-1.979410942627
"gene4246",-0.555896805896765,6.57009345794393,-3.02282548848498,0.00280237522433098,0.0244572776104593,-1.97990785228277
"gene3835",0.50634725634726,8.22897196261682,2.96337998644709,0.0033787292183374,0.0281990333860545,-2.14612886980007
"gene560",0.534602784602747,10.6121495327103,2.9626178076267,0.00338677822786176,0.0282466222954375,-2.14824035293635
"gene6770",0.50225225225228,7.51401869158879,2.95020737566337,0.00352033639018765,0.0290301765404313,-2.18255090916174
"gene4193",0.654586404586382,8.21028037383178,2.94597911733375,0.00356693068318895,0.0292027284164483,-2.19421028192774
"gene3550",-0.515356265356157,8.5981308411215,-2.94039901312106,0.00362928660838259,0.0295524115912615,-2.20957376679788
"gene8357",0.526822276822262,7.80373831775701,2.87860053124611,0.00438976759330446,0.0335237178322128,-2.37792315404222
"gene2090",0.76822276822277,9.92523364485981,2.82897741954862,0.00510277258437929,0.0373778868247138,-2.51070975716091
"gene3498",0.638411138411154,6.41121495327103,2.82435583639741,0.00517427434844085,0.0376495718158922,-2.52296773039404
"gene5468",0.571048321048331,5.92523364485981,2.80752769372334,0.00544239580897844,0.0391411867474743,-2.567444414528
"gene502",0.90417690417693,9.76168224299065,2.7945350775401,0.00565797809025333,0.0401733134608843,-2.60161500080845
"gene1212",0.678746928747042,9.8785046728972,2.75843995790852,0.00629820463121012,0.0433384178025236,-2.69577181329599
"gene2311",0.524570024570044,9.63551401869159,2.70228505002079,0.00742547576403192,0.0487957574537677,-2.83998883007552
"gene330",0.514946764946753,10.2803738317757,2.69571612277616,0.00756860411619404,0.0493970447605181,-2.8566783591879
"gene3353",0.544021294021263,8.90654205607477,2.69192777995243,0.00765227490459695,0.0497811505280131,-2.86628607337416
"gene5162",0.585176085176102,6.61682242990654,2.60483786240715,0.00982077794373284,0.0588692829184714,-3.08367001259635
"gene598",0.562858312858413,9.99532710280374,2.58998611317135,0.0102412691841001,0.0607160958771647,-3.12007246095811
"gene7243",0.547297297297406,7.3785046728972,2.5561567261065,0.0112598697831698,0.064041839716658,-3.20226024524746
"gene519",0.549140049140018,10.9252336448598,2.50442926258305,0.0129929522074359,0.0706234604390817,-3.32596484733954
"gene1805",0.51494676494688,8.2803738317757,2.43604510347078,0.0156470106874477,0.0800060686774159,-3.48584102627779
"gene8399",0.580057330057338,6.5981308411215,2.38857516525204,0.0177615288411163,0.0872436439926617,-3.59435988859697
"gene108",0.574324324324269,10.8971962616822,2.36376410170952,0.018964034929362,0.0912928641499485,-3.65027402963291
"gene1560",0.543407043407161,8.72429906542056,2.33208421866961,0.0206032630943647,0.096821660031503,-3.72086224077943
"gene1202",0.575143325143392,10.6401869158879,2.11748992243917,0.0353448693225183,0.136952833965392,-4.17508934470693
"gene6350",-0.50327600327598,5.68224299065421,-2.08525067915233,0.0382039168815183,0.14335241698416,-4.23970589133796
"gene624",0.566953316953406,10.7102803738318,2.08006677554821,0.0386816397251196,0.144396257472647,-4.25000711122769
"gene10449",0.515561015561048,5.96261682242991,2.04884757796115,0.0416680171183656,0.151411408822322,-4.3115236702072
